Algorithm;Train_score;Test_score;parameters
MultinomialNB;0.9569307724725714;0.7774110998281468;alpha = 0.0001
MultinomialNB;0.9544701772445767;0.7921305129510242;alpha = 0.001
MultinomialNB;0.9510015269073145;0.8021503752198785;alpha = 0.005
MultinomialNB;0.9478989413078135;0.806604342531706;alpha = 0.01
MultinomialNB;0.9466139708844705;0.8084169697385603;alpha = 0.015
MultinomialNB;0.9446948703051298;0.8092156840775863;alpha = 0.02
MultinomialNB;0.9435864735883122;0.8104234499436973;alpha = 0.025
MultinomialNB;0.9419171431649952;0.8115117177063054;alpha = 0.03
MultinomialNB;0.9402490550088508;0.8124237378652941;alpha = 0.035
MultinomialNB;0.9400460016727966;0.8126200210965262;alpha = 0.04
MultinomialNB;0.9383565552601263;0.8125357137137006;alpha = 0.045
MultinomialNB;0.9374141158974334;0.8121700047844872;alpha = 0.05
MultinomialNB;0.9363905554640845;0.8112730347632445;alpha = 0.055
MultinomialNB;0.9352448543391616;0.8111576135524456;alpha = 0.06
MultinomialNB;0.9342114002080659;0.8108775710217913;alpha = 0.065
MultinomialNB;0.9336301944624157;0.809579515940924;alpha = 0.07
MultinomialNB;0.9327765033914676;0.8089822894341204;alpha = 0.075
MultinomialNB;0.9318185579363536;0.8094203257814835;alpha = 0.08
MultinomialNB;0.9305609028915511;0.8086547538276939;alpha = 0.085
MultinomialNB;0.9299843173597869;0.808928199210107;alpha = 0.09
MultinomialNB;0.9289150678896031;0.8086167091234824;alpha = 0.095
MultinomialNB;0.9277668436787248;0.8083507241146034;alpha = 0.1
MultinomialNB;0.9271456713734769;0.807892399399195;alpha = 0.105
MultinomialNB;0.9263825135790121;0.8068431349698008;alpha = 0.11
MultinomialNB;0.9251917919817738;0.8064055663336716;alpha = 0.115
MultinomialNB;0.9244934069745568;0.8054653341435803;alpha = 0.12
MultinomialNB;0.9231159859092308;0.8046123985901602;alpha = 0.125
MultinomialNB;0.9225166510216913;0.8034239388989598;alpha = 0.13
MultinomialNB;0.9211664884089765;0.8032015829382882;alpha = 0.135
MultinomialNB;0.9193115322084608;0.8017939256821571;alpha = 0.14
MultinomialNB;0.9181195475200717;0.8010825132381764;alpha = 0.145
MultinomialNB;0.9165426812998562;0.8000895890871569;alpha = 0.15
MultinomialNB;0.9158088244316527;0.7990963242504504;alpha = 0.155
MultinomialNB;0.9148780125909115;0.7985848431330214;alpha = 0.16
MultinomialNB;0.9135783455537679;0.7970722460658703;alpha = 0.165
MultinomialNB;0.9127781577648216;0.7968717437547439;alpha = 0.17
MultinomialNB;0.9114762499168542;0.7961396817525361;alpha = 0.175
MultinomialNB;0.9100505991571926;0.7952613382729441;alpha = 0.18
MultinomialNB;0.9086788531898278;0.7941249286752706;alpha = 0.185
MultinomialNB;0.9078481886071834;0.7933328460991592;alpha = 0.19
MultinomialNB;0.9071043942510874;0.7927768710025686;alpha = 0.195
MultinomialNB;0.8823252846716223;0.7762169695240269;alpha = 0.31
MultinomialNB;0.8627122587173338;0.759560229541024;alpha = 0.41
MultinomialNB;0.8448527819723943;0.7482554719583785;alpha = 0.51
MultinomialNB;0.8321337197298262;0.7380575878631123;alpha = 0.61
MultinomialNB;0.8133784359981905;0.7307428199089907;alpha = 0.71
MultinomialNB;0.7999763745086653;0.7223020232564309;alpha = 0.81
MultinomialNB;0.7901207852705562;0.7121189026556968;alpha = 0.91
MultinomialNB;0.7797468053395211;0.7069893880828197;alpha = 1.01
MultinomialNB;0.7276572004849444;0.6746144908433769;alpha = 2
MultinomialNB;0.6883024276292383;0.6440272978812053;alpha = 5
BernoulliNB;0.8659999229473084;0.7155004833168704;alpha = 0.0001
BernoulliNB;0.8534725109490074;0.7154166470005706;alpha = 0.001
BernoulliNB;0.8426677379237684;0.7161831205959845;alpha = 0.005
BernoulliNB;0.8372583673500963;0.713716635226972;alpha = 0.01
BernoulliNB;0.8334571106504265;0.7135557918390593;alpha = 0.015
BernoulliNB;0.8296243371049019;0.7122760178359642;alpha = 0.02
BernoulliNB;0.8273517803900072;0.7125553361326666;alpha = 0.025
BernoulliNB;0.8256421112331139;0.7104486852786436;alpha = 0.03
BernoulliNB;0.8236613056890464;0.7093657805747383;alpha = 0.035
BernoulliNB;0.8214648273862719;0.7091704317282769;alpha = 0.04
BernoulliNB;0.8199072022560748;0.7090429984793015;alpha = 0.045
BernoulliNB;0.8181782800075235;0.7090532759750269;alpha = 0.05
BernoulliNB;0.81707196484269;0.7085771025613474;alpha = 0.055
BernoulliNB;0.8160628884996993;0.7087563535715486;alpha = 0.06
BernoulliNB;0.8143245108082683;0.7077020927247472;alpha = 0.065
BernoulliNB;0.8135032198233121;0.7065739827182942;alpha = 0.07
BernoulliNB;0.8121843906174607;0.7068371420206677;alpha = 0.075
BernoulliNB;0.8116123884539002;0.7057764654141689;alpha = 0.08
BernoulliNB;0.8103078211903258;0.7047899247783492;alpha = 0.085
BernoulliNB;0.8092295849116604;0.7043798078062637;alpha = 0.09
BernoulliNB;0.8085035996986677;0.704429418846525;alpha = 0.095
BernoulliNB;0.8075972311909712;0.7041346995074151;alpha = 0.1
BernoulliNB;0.806794830668539;0.7033060358528926;alpha = 0.105
BernoulliNB;0.8060915441823276;0.7030345555083589;alpha = 0.11
BernoulliNB;0.8054696148074219;0.7023428336808795;alpha = 0.115
BernoulliNB;0.804563467198475;0.7019112262849635;alpha = 0.12
BernoulliNB;0.8037662451221108;0.7014144799858695;alpha = 0.125
BernoulliNB;0.8024639801422238;0.7012889581531243;alpha = 0.13
BernoulliNB;0.8020610906994953;0.7012819312704875;alpha = 0.135
BernoulliNB;0.801346356884178;0.700517502180529;alpha = 0.14
BernoulliNB;0.8005267021231208;0.7008438222713119;alpha = 0.145
BernoulliNB;0.7996337558707157;0.7004418466528425;alpha = 0.15
BernoulliNB;0.7994389061480072;0.7000957581931869;alpha = 0.155
BernoulliNB;0.7990593999244296;0.6998635068279615;alpha = 0.16
BernoulliNB;0.7985706551314413;0.69954158556691;alpha = 0.165
BernoulliNB;0.7981471737963759;0.6987283570863446;alpha = 0.17
BernoulliNB;0.7978063381102862;0.6985146683580399;alpha = 0.175
BernoulliNB;0.796847291372481;0.6979461250046995;alpha = 0.18
BernoulliNB;0.79613777349122;0.6974217791613875;alpha = 0.185
BernoulliNB;0.7955013135839278;0.69741441655118;alpha = 0.19
BernoulliNB;0.7951287127337676;0.6972119459245958;alpha = 0.195
BernoulliNB;0.7859779155185381;0.6925698495625089;alpha = 0.31
BernoulliNB;0.7797352392737379;0.6869641356814943;alpha = 0.41
BernoulliNB;0.7730127380472132;0.6801660940024431;alpha = 0.51
BernoulliNB;0.7647097997495275;0.6731344190712294;alpha = 0.61
BernoulliNB;0.7561053806078952;0.6674232016481622;alpha = 0.71
BernoulliNB;0.7466287657833827;0.6600595306165642;alpha = 0.81
BernoulliNB;0.739449079356266;0.6540146115868887;alpha = 0.91
BernoulliNB;0.731561540831292;0.6476854596761261;alpha = 1.01
BernoulliNB;0.6489060346981557;0.5863537833937462;alpha = 2
BernoulliNB;0.5304448770697436;0.4827510350207338;alpha = 5
LinearSVC;0.6802846923340687;0.6532070913259475;C = 0.05 penalty = l1
LinearSVC;0.7548314600600382;0.7025881601088515;C = 0.1 penalty = l1
LinearSVC;0.7900476050532518;0.7258675147966348;C = 0.15 penalty = l1
LinearSVC;0.8164615134280169;0.7437554275410445;C = 0.2 penalty = l1
LinearSVC;0.8566213379102466;0.7629088418350948;C = 0.3 penalty = l1
LinearSVC;0.8853537112827089;0.7735568628080843;C = 0.4 penalty = l1
LinearSVC;0.9031136334015462;0.7794946424329129;C = 0.5 penalty = l1
LinearSVC;0.9207558771711961;0.7822001459485839;C = 0.6 penalty = l1
LinearSVC;0.9555492899752766;0.7872615513119543;C = 0.9 penalty = l1
LinearSVC;0.9636596231877037;0.7865928177035605;C = 1.0 penalty = l1
LinearSVC;0.993813426569493;0.7803172262904197;C = 2.0 penalty = l1
LinearSVC;0.9987251248067928;0.7633963330219309;C = 5.0 penalty = l1
LinearSVC;0.998998219649591;0.7599562337573353;C = 10.0 penalty = l1
LinearSVC;0.998998219649591;0.7550688700956123;C = 20.0 penalty = l1
